Timestamp,"Birthday (MM/DD/YYYY)

i.e. 01/14/2001","Height (Answer in Inches Please)

i.e. 60 inches = 5'0",Sex,Coffee or Tea?,Early Bird or Night Owl,"What is your current state of residence? Please answer in abbreviations.

i.e. NJ, MD, PA, NY, CA, etc.",How long have you stayed in this state? Answer in years and can be in decimals!,Which county are you from? COUNTY not country,"What state have you lived in the longest? Write down that state(s) in abbreviation. Otherwise, write N/A","If so, how long? Write N/A if you answered ""N/A""",What do you call the action shown in the picture above?
12/8/2022 15:01:34,10/05/2000,68,Male,Neither,Night Owl,MD,22,Carroll County,MD,22,Waterfall
12/8/2022 15:02:50,01/15/2001,69,Male,Tea,Night Owl,MD,21.9,Montgomery County,MD,21.9,Airsip
12/8/2022 15:10:25,01/29/2000,69.5,Male,Coffee,Night Owl,MD,7.7,Baltimore County,MD,4.5,Waterfall
12/8/2022 15:12:08,09/29/2001,66,Male,Tea,Night Owl,NJ,15,Middlesex County,NJ,15,Airsip
12/8/2022 20:00:55,03/25/1998,66,Male,Neither,Night Owl,DC,1,Washington DC,PA,16,Waterfall
12/8/2022 21:48:45,09/03/2002,69,Male,Tea,Night Owl,MD,9,Howard County ,NY,11,Waterfall
12/8/2022 22:52:06,09/13/2000,50.4,Female,Coffee,Early Bird,AZ,17.5,Mexico,AZ,17.5,Waterfall
,4/17/1984,62,Female,Coffee,Night Owl,WI,6,,RI,6,Waterfall
,1/10/2003,64,Female,Coffee,Night Owl,OH,18,,OH,18,Waterfall
,8/2/2001,64,Female,Tea,Early Bird,OK,6,,UT,10,Waterfall
,4/10/2001,72,Male,Tea,Night Owl,UT,9,,MA,10,Airsip
,1/17/1998,65,Female,Coffee,Night Owl,ID,16,,ID,16,Waterfall
,1/8/2000,64,Female,Neither,Early Bird,WV,1,,WV,1,Waterfall
,6/5/1985,59,Female,Tea,Night Owl,MI,16,,MI,16,Fountain
,1/18/1998,59,Female,Neither,Night Owl,KS,6,,KS,6,Waterfall
,1/5/1982,60,Female,Coffee,Early Bird,MA,19,,MA,19,Sky
,11/21/2006,76,Male,Tea,Night Owl,KS,1,,KS,1,Waterfall
,2/22/2000,71,Male,Coffee,Night Owl,NJ,4,,NH,13,Waterfall
,10/29/1975,65,Female,Coffee,Night Owl,TX,38,,TX,38,Waterfall
,12/13/2001,70,Male,Tea,Night Owl,AK,9,,SD,11,Waterfall
,4/22/2001,62,Female,Neither,Night Owl,WV,17,,WV,17,Waterfall
,11/28/2001,66,Female,Coffee,Night Owl,TN,9,,DC,9,Waterfall
,12/24/1979,76,Male,Tea,Night Owl,NJ,32,,NJ,32,Airsip
,3/12/2004,63,Female,Tea,Night Owl,FL,3,,FL,3,Waterfall
,1/8/1984,60,Female,Coffee,Early Bird,FL,3,,CA,8,Birdie
,10/8/1990,71,Male,Coffee,Early Bird,AL,10,,PA,22,Pop
,11/25/1999,59,Female,Tea,Night Owl,NM,2,,TN,10,Waterfall
,7/14/1998,79,Male,Tea,Early Bird,ME,5,,ME,5,Waterfall
,7/22/1998,59,Female,Tea,Night Owl,CA,18,,CA,18,Birdie
,10/11/1977,71,Male,Coffee,Early Bird,GA,9,,FL,22,Airsip
,2/7/2004,74,Male,Tea,Night Owl,IL,10,,IL,10,Waterfall
,8/3/1978,64,Female,Tea,Night Owl,MD,39,,MD,39,Waterfall
,7/12/2003,78,Male,Coffee,Night Owl,WV,4,,NH,13,Waterfall
,9/18/1998,70,Male,Coffee,Early Bird,DE,16,,DE,16,Waterfall
,4/27/1997,59,Female,Neither,Early Bird,ME,1,,MA,15,Airsip
,3/11/2003,66,Female,Coffee,Night Owl,NY,9,,NJ,10,Waterfall
,1/1/1999,75,Male,Coffee,Night Owl,MO,22,,MO,22,Waterfall
,10/31/1999,60,Female,Tea,Night Owl,MA,21,,MA,21,Sky
,9/1/1998,76,Male,Coffee,Night Owl,WI,23,,WI,23,Waterfall
,11/19/1995,62,Female,Coffee,Night Owl,MI,6,,MI,6,Airsip
,12/20/1976,63,Female,Tea,Night Owl,AZ,5,,DC,14,Waterfall
,12/13/2001,70,Male,Coffee,Night Owl,WY,20,,WY,20,Waterfall
,11/6/1995,60,Female,Coffee,Night Owl,VT,5,,NH,16,Waterfall
,7/6/1983,71,Male,Neither,Night Owl,MT,19,,FL,19,Airsip
,12/25/1978,77,Male,Tea,Night Owl,MS,29,,MS,29,Waterfall
,11/20/1998,64,Female,Coffee,Night Owl,SC,1,,SC,1,Waterfall
,7/31/1998,70,Male,Coffee,Early Bird,VT,10,,HI,13,Waterfall
,7/23/1999,77,Male,Neither,Early Bird,MA,3,,MA,3,Airsip
,5/13/1998,69,Male,Coffee,Night Owl,NJ,4,,NJ,4,Airdrink
,4/15/2005,78,Male,Coffee,Night Owl,NC,4,,NC,4,Waterfall
,6/2/2001,60,Female,Coffee,Early Bird,NM,4,,LA,14,Waterfall
,1/20/2001,64,Female,Coffee,Night Owl,DC,3,,ID,7,Waterfall
,1/11/1991,69,Male,Neither,Night Owl,HI,2,,NE,12,Waterfall
,9/21/1991,61,Female,Neither,Night Owl,SC,11,,GA,13,Waterfall
,4/17/1977,60,Female,Coffee,Night Owl,ND,10,,TX,32,Waterfall
,11/29/2002,65,Female,Neither,Night Owl,MA,4,,NH,4,Waterfall
,3/4/2004,75,Male,Tea,Night Owl,ME,9,,NC,9,Waterfall
,6/2/1998,72,Male,Coffee,Night Owl,ME,11,,ME,11,Waterfall
,5/14/1999,66,Female,Tea,Night Owl,WA,5,,RI,7,Waterfall
,5/28/1999,78,Male,Coffee,Early Bird,OR,4,,CA,5,Birdie
,1/14/1990,78,Male,Coffee,Night Owl,ME,14,,ME,14,Waterfall
,6/28/2000,65,Female,Coffee,Early Bird,MS,22,,MS,22,Waterfall
,5/14/1997,78,Male,Tea,Early Bird,TN,2,,NM,2,Waterfall
,7/20/1991,62,Female,Neither,Night Owl,WA,14,,MT,16,Waterfall
,11/4/2003,78,Male,Coffee,Night Owl,AK,1,,TN,13,Waterfall
,2/20/1997,61,Female,Coffee,Night Owl,KY,3,,KY,3,Waterfall
,9/13/1999,73,Male,Tea,Night Owl,IA,1,,IA,1,No term for this
,11/16/1996,60,Female,Coffee,Night Owl,MO,3,,AL,4,Waterfall
,3/2/1993,61,Female,Tea,Night Owl,FL,14,,GA,14,Waterfall
,5/21/1999,65,Female,Tea,Night Owl,MS,12,,MS,12,Waterfall
,2/28/1991,64,Female,Coffee,Early Bird,RI,7,,RI,7,Waterfall
,11/3/1998,61,Female,Coffee,Early Bird,VA,4,,ND,18,Waterfall
,2/15/2004,63,Female,Coffee,Night Owl,WI,8,,WI,8,Waterfall
,10/31/2006,59,Female,Coffee,Night Owl,AZ,2,,AZ,2,Waterfall
,5/5/1991,71,Male,Tea,Night Owl,AK,22,,AK,22,Waterfall
,12/14/1986,79,Male,Coffee,Night Owl,NY,6,,OH,22,Waterfall
,9/1/1998,66,Female,Coffee,Night Owl,OH,6,,TX,15,Waterfall
,4/4/2004,62,Female,Neither,Night Owl,NJ,8,,VT,9,Waterfall
,11/2/1997,60,Female,Coffee,Night Owl,NV,2,,NJ,7,Airdrink
,11/30/2002,62,Female,Coffee,Night Owl,UT,1,,HI,13,Waterfall
,12/19/2004,63,Female,Neither,Night Owl,AZ,4,,AZ,4,Waterfall
,10/17/2003,75,Male,Tea,Night Owl,UT,7,,UT,7,Waterfall
,8/30/1999,65,Female,Coffee,Early Bird,OH,10,,OH,10,Waterfall
,1/11/1997,65,Female,Coffee,Night Owl,KY,5,,KY,5,Waterfall
,2/1/1997,65,Female,Coffee,Night Owl,TX,25,,TX,25,Waterfall
,11/29/1978,63,Female,Neither,Night Owl,MT,18,,AK,25,Waterfall
,1/4/2002,66,Female,Coffee,Night Owl,NY,17,,NY,17,Waterfall
,1/11/1986,61,Female,Tea,Night Owl,NC,7,,MI,25,Fountain
,4/24/1991,69,Male,Tea,Night Owl,MS,3,,VT,25,Waterfall
,3/27/1998,75,Male,Coffee,Night Owl,NH,10,,MO,12,Waterfall
,8/29/2002,64,Female,Coffee,Early Bird,ID,13,,ID,13,No term for this
,9/17/1992,76,Male,Coffee,Night Owl,FL,22,,FL,22,Airsip
,9/2/1991,78,Male,Coffee,Night Owl,MS,18,,MS,18,Waterfall
,11/25/1979,72,Male,Coffee,Night Owl,WY,3,,WY,3,Waterfall
,6/30/1999,60,Female,Coffee,Night Owl,NC,2,,CA,6,Birdie
,2/19/1999,59,Female,Coffee,Night Owl,OK,18,,OK,18,Waterfall
,8/13/1990,62,Female,Tea,Night Owl,AL,8,,TX,14,Waterfall
,3/24/2004,79,Male,Tea,Night Owl,NJ,4,,GA,10,Waterfall
,8/17/1999,61,Female,Tea,Early Bird,SD,9,,SD,9,Waterfall
,9/10/1997,60,Female,Coffee,Night Owl,MI,13,,MI,13,Airsip
,8/14/2003,72,Male,Coffee,Night Owl,NC,15,,NC,15,Waterfall
,6/18/1997,60,Female,Coffee,Night Owl,OH,23,,OH,23,Waterfall
,2/2/1998,77,Male,Neither,Night Owl,IL,14,,IL,14,Waterfall
,9/30/2005,66,Female,Coffee,Night Owl,KY,9,,KY,9,Waterfall
,6/29/1981,65,Female,Coffee,Night Owl,ME,2,,NV,35,Waterfall
,5/29/1992,79,Male,Coffee,Night Owl,TX,27,,TX,27,Waterfall
,7/29/1994,75,Male,Coffee,Night Owl,NV,2,,NV,2,Waterfall
,7/5/1983,61,Female,Neither,Night Owl,AL,11,,NE,15,Waterfall
,7/27/2001,60,Female,Coffee,Night Owl,DC,2,,NH,10,Waterfall
,4/14/2005,78,Male,Neither,Night Owl,MO,9,,MO,9,Waterfall
,6/5/1994,62,Female,Coffee,Early Bird,NC,4,,DC,24,Waterfall
,6/25/1999,61,Female,Neither,Early Bird,UT,19,,UT,19,Waterfall
,4/16/1984,72,Male,Coffee,Early Bird,WY,14,,IA,21,No term for this
,10/22/2004,71,Male,Coffee,Night Owl,MO,1,,MO,1,Waterfall
,7/27/1985,76,Male,Tea,Night Owl,OK,26,,OK,26,Waterfall
,6/17/1998,61,Female,Coffee,Night Owl,AZ,12,,GA,12,Waterfall
,10/30/2003,61,Female,Neither,Night Owl,MS,14,,MS,14,Waterfall
,8/10/1987,65,Female,Tea,Night Owl,UT,17,,UT,17,Waterfall
,6/14/1999,63,Female,Coffee,Early Bird,CT,14,,CT,14,Waterfall
,1/11/2000,73,Male,Coffee,Night Owl,AK,19,,AK,19,Waterfall
,3/27/1976,66,Female,Tea,Early Bird,NE,25,,NE,25,Waterfall
,1/21/1975,72,Male,Neither,Night Owl,WI,23,,WI,23,Waterfall
,6/22/1995,75,Male,Tea,Night Owl,DC,1,,DC,1,Waterfall
,12/15/1999,69,Male,Coffee,Early Bird,IN,22,,IN,22,Waterfall
,4/5/2001,78,Male,Tea,Early Bird,HI,2,,MI,7,Fountain
,6/18/2001,78,Male,Coffee,Early Bird,SD,10,,SD,10,Waterfall
,4/6/1998,71,Male,Tea,Night Owl,UT,7,,NM,8,Waterfall
,6/27/1996,71,Male,Tea,Night Owl,VT,6,,MD,12,Airsip
,8/4/1999,78,Male,Coffee,Night Owl,KY,4,,ID,4,No term for this
,11/28/2002,66,Female,Neither,Night Owl,ID,5,,ID,5,Waterfall
,2/25/2005,61,Female,Tea,Night Owl,MD,3,,AK,7,Waterfall
,1/2/1998,63,Female,Tea,Night Owl,AR,8,,AR,8,Waterfall
,6/5/1988,79,Male,Coffee,Night Owl,ME,5,,MN,13,Waterfall
,1/12/2001,61,Female,Tea,Night Owl,CA,2,,CA,2,Birdie
,6/18/2000,62,Female,Tea,Early Bird,NM,9,,ME,9,Waterfall
,8/26/1999,65,Female,Coffee,Night Owl,RI,2,,MT,14,Waterfall
,7/2/2002,74,Male,Tea,Night Owl,SD,13,,SD,13,Waterfall
,11/11/2000,66,Female,Coffee,Night Owl,CO,17,,CO,17,Waterfall
,7/16/1991,72,Male,Tea,Early Bird,CT,14,,MS,17,Waterfall
,5/1/1990,78,Male,Coffee,Night Owl,ND,3,,LA,10,Waterfall
,12/10/2003,59,Female,Tea,Night Owl,OH,15,,OH,15,Waterfall
,11/29/1998,71,Male,Coffee,Night Owl,LA,20,,LA,20,Waterfall
,5/2/1999,69,Male,Tea,Early Bird,NV,2,,CA,11,Birdie
,8/29/2001,69,Male,Neither,Night Owl,SC,7,,FL,8,Waterfall
,7/1/1997,65,Female,Coffee,Night Owl,AK,21,,AK,21,Waterfall
,2/8/1992,61,Female,Coffee,Early Bird,SD,16,,SD,16,Waterfall
,5/9/2000,70,Male,Coffee,Early Bird,WI,14,,WI,14,Waterfall
,7/24/2001,63,Female,Coffee,Night Owl,TN,6,,UT,15,Waterfall
,1/31/1983,61,Female,Neither,Night Owl,NV,12,,GA,13,Waterfall
,5/29/2005,61,Female,Coffee,Early Bird,SD,5,,ID,6,Waterfall
,1/17/1983,70,Male,Coffee,Night Owl,PA,34,,PA,34,Waterfall
,1/13/1983,60,Female,Neither,Night Owl,KS,30,,KS,30,Waterfall
,5/31/1995,59,Female,Tea,Early Bird,ID,3,,ID,3,No term for this
,10/30/2000,60,Female,Coffee,Early Bird,MO,3,,NY,9,Airsip
,3/18/1998,77,Male,Tea,Night Owl,CA,21,,CA,21,Waterfall
,5/15/2001,79,Male,Coffee,Night Owl,WI,4,,WI,4,Waterfall
,11/4/2003,73,Male,Coffee,Night Owl,TN,6,,FL,6,Waterfall
,8/15/2004,74,Male,Coffee,Early Bird,NY,4,,NY,4,Airsip
,11/6/1996,62,Female,Tea,Night Owl,KY,2,,KY,2,Waterfall
,8/14/1987,65,Female,Tea,Night Owl,MD,33,,MD,33,Waterfall
,1/1/2000,62,Female,Coffee,Night Owl,LA,11,,ME,11,Waterfall
,7/4/1988,71,Male,Neither,Night Owl,DE,9,,NJ,23,Waterfall
,10/26/2001,62,Female,Neither,Night Owl,AR,5,,AR,5,Waterfall
,11/27/1998,65,Female,Neither,Night Owl,NC,17,,NC,17,Waterfall
,2/13/1995,60,Female,Tea,Night Owl,MN,21,,MN,21,Waterfall
,9/27/2003,74,Male,Tea,Night Owl,TN,8,,TN,8,Waterfall
,7/21/2003,62,Female,Tea,Night Owl,NV,1,,AL,18,Waterfall
,12/14/1999,73,Male,Coffee,Night Owl,MO,11,,WV,11,Waterfall
,4/18/2002,69,Male,Tea,Night Owl,HI,9,,CO,11,Waterfall
,1/5/1997,59,Female,Coffee,Night Owl,MD,10,,MD,10,Airsip
,1/18/2003,63,Female,Neither,Night Owl,NJ,4,,MI,12,Fountain
,6/5/2002,61,Female,Coffee,Night Owl,DC,8,,OH,9,Waterfall
,12/17/1999,77,Male,Tea,Early Bird,PA,17,,PA,17,Pop
,11/7/1999,74,Male,Neither,Night Owl,MA,3,,CT,13,Waterfall
,3/2/2000,72,Male,Coffee,Night Owl,TN,3,,PA,8,Pop
,6/23/2004,69,Male,Neither,Early Bird,OK,4,,VA,11,Waterfall
,12/5/2001,64,Female,Tea,Early Bird,AR,5,,AR,5,Waterfall
,12/26/1989,65,Female,Tea,Night Owl,MT,4,,MT,4,Waterfall
,5/9/2002,72,Male,Coffee,Early Bird,WI,10,,WI,10,Waterfall
,7/31/1997,70,Male,Tea,Night Owl,CO,7,,NJ,18,Airdrink
,11/21/1999,62,Female,Tea,Night Owl,WV,1,,UT,10,Waterfall
,7/13/2000,62,Female,Coffee,Night Owl,NM,3,,DC,18,Waterfall
,1/27/1980,62,Female,Coffee,Early Bird,VT,15,,VT,15,Waterfall
,4/2/2001,73,Male,Tea,Night Owl,MS,21,,MS,21,Waterfall
,3/31/2001,60,Female,Tea,Early Bird,KS,2,,OH,8,Waterfall
,11/3/2004,61,Female,Coffee,Night Owl,KS,4,,AL,13,Waterfall
,10/7/1998,78,Male,Coffee,Night Owl,AR,3,,NH,7,Waterfall
,12/10/1981,79,Male,Tea,Night Owl,VA,28,,VA,28,Waterfall
,4/14/2004,63,Female,Tea,Early Bird,IA,15,,IA,15,No term for this
,3/28/1997,63,Female,Neither,Night Owl,MT,7,,SC,9,Waterfall
,9/16/1991,66,Female,Tea,Night Owl,MI,10,,HI,12,Waterfall
,5/23/2002,77,Male,Coffee,Early Bird,FL,14,,FL,14,Airsip
,11/17/2005,76,Male,Coffee,Night Owl,NJ,5,,NJ,5,Airdrink
,5/18/1984,74,Male,Coffee,Night Owl,NC,11,,NC,11,Waterfall
,1/8/1998,72,Male,Tea,Night Owl,NJ,16,,NJ,16,Airsip
,11/19/2002,75,Male,Tea,Early Bird,RI,9,,WY,9,Waterfall
,2/25/1992,76,Male,Coffee,Night Owl,VA,15,,MO,15,Waterfall
,2/24/1997,66,Female,Neither,Night Owl,AK,6,,AZ,15,Waterfall
,7/24/2001,79,Male,Neither,Night Owl,PA,3,,PA,3,Waterfall
,11/5/1997,79,Male,Neither,Early Bird,MO,3,,AZ,8,Waterfall
,5/16/2006,64,Female,Coffee,Early Bird,AK,2,,GA,6,Waterfall
,8/19/1999,61,Female,Tea,Early Bird,DE,12,,DE,12,Waterfall
,11/13/2002,59,Female,Neither,Night Owl,VA,3,,DE,13,Waterfall
,1/9/1977,72,Male,Tea,Night Owl,WV,5,,IN,33,Waterfall
,1/21/2003,79,Male,Tea,Night Owl,UT,4,,UT,4,Waterfall
,10/1/2005,61,Female,Neither,Early Bird,MS,3,,AK,7,Waterfall
,9/8/1981,69,Male,Tea,Night Owl,NJ,11,,IL,29,Waterfall
,9/8/1975,66,Female,Coffee,Night Owl,HI,8,,MN,23,Waterfall
,8/11/1975,66,Female,Tea,Early Bird,DC,21,,MA,23,Sky
,11/28/2003,76,Male,Neither,Night Owl,WI,16,,WI,16,Waterfall
,7/6/1997,59,Female,Neither,Night Owl,IL,10,,VT,11,Waterfall
,8/13/1991,74,Male,Coffee,Early Bird,OH,4,,NH,15,Waterfall
,12/30/1998,71,Male,Neither,Night Owl,OK,5,,OK,5,Waterfall
,9/7/2004,77,Male,Coffee,Night Owl,NY,6,,OH,8,Waterfall
,7/6/1998,66,Female,Coffee,Night Owl,AL,23,,AL,23,Waterfall
,10/21/1999,65,Female,Coffee,Early Bird,UT,1,,UT,1,Waterfall
,6/7/2004,79,Male,Tea,Early Bird,IN,1,,PA,7,Pop
,7/21/1997,66,Female,Tea,Early Bird,MT,2,,OH,14,Waterfall
,3/26/2002,72,Male,Tea,Night Owl,SD,8,,SD,8,Waterfall
,1/24/1983,60,Female,Coffee,Night Owl,MD,14,,SC,21,Waterfall
,10/17/1997,59,Female,Tea,Night Owl,CO,21,,CO,21,Waterfall
,3/15/1999,61,Female,Tea,Night Owl,OH,16,,OH,16,Waterfall
,1/3/2003,65,Female,Tea,Night Owl,WV,2,,WV,2,Waterfall
,2/18/2002,62,Female,Coffee,Night Owl,MS,10,,MS,10,Waterfall
,1/23/2002,60,Female,Tea,Early Bird,LA,9,,MI,9,Airsip
,4/18/2001,65,Female,Tea,Early Bird,MD,9,,CA,10,Birdie
,2/17/2002,73,Male,Tea,Night Owl,OK,8,,WA,11,Airdrink
,2/17/1998,63,Female,Neither,Night Owl,MN,20,,MN,20,Waterfall
,6/2/2004,64,Female,Tea,Night Owl,CT,7,,DC,8,Waterfall
,1/12/1979,69,Male,Neither,Night Owl,FL,8,,NH,19,Waterfall
,6/8/2000,78,Male,Coffee,Night Owl,RI,8,,LA,12,Waterfall
,12/29/2003,61,Female,Coffee,Early Bird,CT,8,,MO,10,Waterfall
,2/3/2005,63,Female,Coffee,Early Bird,ND,1,,ND,1,Waterfall
,9/5/1983,66,Female,Coffee,Night Owl,CA,5,,NC,23,Waterfall
,4/17/1995,70,Male,Tea,Night Owl,KS,11,,KS,11,Waterfall
,11/11/1999,62,Female,Tea,Night Owl,IA,6,,AZ,9,Waterfall
,9/22/1994,64,Female,Tea,Night Owl,OR,14,,DC,14,Waterfall
,9/23/1998,73,Male,Tea,Night Owl,MO,2,,MS,10,Waterfall
,3/18/1977,64,Female,Tea,Night Owl,CO,22,,CO,22,Waterfall
,4/23/2000,76,Male,Coffee,Night Owl,MD,2,,MD,2,Waterfall
,1/26/1997,77,Male,Coffee,Night Owl,WI,7,,WI,7,Waterfall
,11/5/1999,63,Female,Coffee,Night Owl,AZ,6,,MI,10,Fountain
,10/3/2003,66,Female,Tea,Night Owl,KS,17,,KS,17,Waterfall
,3/12/1997,64,Female,Coffee,Night Owl,CT,25,,CT,25,Waterfall
,8/29/1995,65,Female,Tea,Early Bird,IL,13,,IL,13,Waterfall
,8/13/2000,79,Male,Coffee,Night Owl,DC,10,,DC,10,Waterfall
,12/18/2002,72,Male,Coffee,Night Owl,AL,2,,SD,9,Waterfall
,6/19/2003,61,Female,Coffee,Night Owl,NM,2,,RI,4,Waterfall
,7/14/2004,72,Male,Tea,Night Owl,NE,11,,NE,11,Waterfall
,3/21/1992,65,Female,Coffee,Night Owl,CT,14,,MT,15,Waterfall
,9/23/2006,71,Male,Coffee,Night Owl,KY,12,,KY,12,Waterfall
,5/2/2002,61,Female,Coffee,Night Owl,DE,10,,AR,10,Waterfall
,8/21/2002,59,Female,Coffee,Night Owl,AZ,6,,AZ,6,Waterfall
,1/9/2000,62,Female,Tea,Early Bird,RI,2,,TN,16,Waterfall
,4/28/2003,77,Male,Tea,Early Bird,ME,18,,ME,18,Waterfall
,1/12/2004,79,Male,Tea,Night Owl,MT,6,,NM,8,Waterfall
,4/4/1976,64,Female,Tea,Early Bird,NV,18,,NV,18,Waterfall
,11/22/1993,66,Female,Coffee,Night Owl,WA,9,,NE,13,Waterfall
,4/16/1990,70,Male,Tea,Early Bird,WI,21,,WI,21,Waterfall
,1/25/2002,77,Male,Coffee,Night Owl,MA,1,,OR,19,Waterfall
,8/7/1998,75,Male,Coffee,Night Owl,NC,12,,NJ,12,Waterfall
,12/6/2000,62,Female,Tea,Early Bird,MI,2,,MI,2,Fountain
,8/7/2004,63,Female,Tea,Early Bird,AL,8,,ND,8,Waterfall
,4/6/2001,62,Female,Neither,Early Bird,AR,1,,AR,1,Waterfall
,1/6/1981,79,Male,Coffee,Night Owl,WY,18,,TX,21,Waterfall
,7/17/1990,60,Female,Tea,Early Bird,WI,32,,WI,32,Waterfall
,7/25/1985,59,Female,Coffee,Night Owl,UT,2,,UT,2,Waterfall
,11/22/1984,62,Female,Tea,Night Owl,LA,21,,LA,21,Waterfall
,3/29/1998,74,Male,Neither,Night Owl,NJ,5,,ND,7,Waterfall
,12/23/1980,66,Female,Coffee,Night Owl,MD,4,,OR,19,Waterfall
,6/2/1998,65,Female,Tea,Early Bird,SC,9,,AR,11,Waterfall
,8/20/1998,79,Male,Tea,Night Owl,AR,11,,HI,11,Waterfall
,3/6/2004,60,Female,Neither,Early Bird,TN,7,,TN,7,Waterfall
,2/16/1992,79,Male,Coffee,Night Owl,AR,6,,AR,6,Waterfall
,4/23/2000,73,Male,Coffee,Night Owl,WV,12,,WV,12,Waterfall
,7/26/1988,63,Female,Neither,Early Bird,VT,29,,VT,29,Waterfall
,1/24/1997,78,Male,Tea,Night Owl,NC,15,,NC,15,Waterfall
,12/2/1997,69,Male,Coffee,Night Owl,VT,12,,DE,12,Waterfall
,9/15/1975,75,Male,Coffee,Night Owl,WV,20,,LA,23,Waterfall
,2/20/1987,61,Female,Coffee,Night Owl,WI,34,,WI,34,Waterfall
,4/30/1990,74,Male,Tea,Night Owl,MS,7,,OR,15,Waterfall
,11/9/2004,63,Female,Tea,Night Owl,MO,3,,NH,6,Waterfall
,3/25/1988,65,Female,Neither,Night Owl,VT,7,,MD,8,Airsip
,3/21/1997,78,Male,Tea,Night Owl,ND,9,,AK,9,Waterfall
,8/25/2000,63,Female,Tea,Night Owl,MT,4,,DC,10,Waterfall
,1/25/2002,71,Male,Neither,Night Owl,ID,4,,ID,4,Waterfall
,7/14/1999,76,Male,Coffee,Night Owl,MA,9,,WV,13,Waterfall
,4/14/2003,76,Male,Tea,Night Owl,KY,6,,MS,7,Waterfall
,1/1/2004,60,Female,Tea,Night Owl,OK,7,,WV,11,Waterfall
,5/26/2001,70,Male,Coffee,Night Owl,AR,7,,KS,12,Waterfall
,9/13/1997,73,Male,Tea,Night Owl,NV,21,,NV,21,Waterfall
,5/5/1997,63,Female,Neither,Early Bird,NV,24,,NV,24,Waterfall
,2/17/1999,78,Male,Coffee,Night Owl,DC,2,,ME,7,Waterfall
,6/1/2002,63,Female,Neither,Night Owl,MN,3,,MN,3,Waterfall
,12/23/2001,66,Female,Coffee,Night Owl,CT,7,,SD,10,Waterfall
,2/5/1999,74,Male,Tea,Early Bird,MO,5,,MO,5,Waterfall
,12/30/2001,66,Female,Tea,Night Owl,ME,14,,ME,14,Waterfall
,6/22/1989,72,Male,Tea,Early Bird,GA,6,,GA,6,Waterfall
,2/27/1984,62,Female,Coffee,Night Owl,CA,16,,CA,16,Birdie
,3/27/2004,59,Female,Tea,Night Owl,NM,12,,NM,12,Waterfall
,5/31/1999,71,Male,Tea,Night Owl,AL,10,,FL,10,Airsip
,1/5/1999,64,Female,Tea,Early Bird,AR,2,,AL,9,Waterfall
,8/9/1992,62,Female,Coffee,Early Bird,DC,11,,SD,19,Waterfall
,5/4/2002,74,Male,Neither,Early Bird,IA,7,,ID,11,No term for this
,10/29/2000,64,Female,Tea,Night Owl,VA,14,,VA,14,Waterfall
,11/4/1999,66,Female,Neither,Early Bird,VA,8,,IN,8,Waterfall
,12/19/1998,76,Male,Coffee,Night Owl,OR,4,,OR,4,Waterfall
,3/22/2003,61,Female,Tea,Early Bird,KS,4,,MD,10,Airsip
,10/16/1999,69,Male,Coffee,Night Owl,IA,15,,IA,15,No term for this
,7/1/2003,63,Female,Tea,Night Owl,OR,13,,OR,13,Waterfall
,12/31/2001,66,Female,Coffee,Early Bird,VT,10,,HI,10,Waterfall
,7/29/1999,77,Male,Neither,Night Owl,LA,2,,LA,2,Waterfall
,4/12/1998,71,Male,Coffee,Night Owl,DE,21,,DE,21,Waterfall
,5/23/2003,60,Female,Tea,Night Owl,NH,3,,CO,16,Waterfall
,3/3/2002,76,Male,Tea,Night Owl,IL,2,,NE,15,Waterfall
,6/15/2002,63,Female,Coffee,Night Owl,NJ,9,,NJ,9,Airdrink
,4/15/1998,64,Female,Coffee,Night Owl,PA,3,,PA,3,Waterfall
,4/5/1986,66,Female,Tea,Night Owl,DC,33,,DC,33,Waterfall
,3/28/1980,69,Male,Neither,Early Bird,NY,21,,NM,21,Waterfall
,5/2/2003,62,Female,Coffee,Night Owl,WI,18,,WI,18,Waterfall
,6/20/1999,62,Female,Coffee,Early Bird,KS,8,,KS,8,Waterfall
,8/10/2001,66,Female,Coffee,Night Owl,WA,13,,WA,13,Airdrink
,7/18/2004,65,Female,Tea,Night Owl,MD,15,,MD,15,Airsip
,1/23/1999,76,Male,Coffee,Night Owl,SD,3,,SD,3,Waterfall
,11/3/1989,78,Male,Tea,Night Owl,AZ,28,,AZ,28,Waterfall
,4/12/1997,66,Female,Tea,Night Owl,MD,3,,OK,7,Waterfall
,6/19/2002,71,Male,Coffee,Night Owl,MO,12,,MO,12,Waterfall
,12/25/2000,61,Female,Neither,Night Owl,MS,6,,MS,6,Waterfall
,7/1/1999,66,Female,Tea,Early Bird,OH,11,,OH,11,Waterfall
,3/3/1993,71,Male,Coffee,Night Owl,IL,16,,IL,16,Waterfall
,9/25/2000,59,Female,Coffee,Night Owl,DC,5,,NE,15,Waterfall
,9/26/2004,62,Female,Tea,Night Owl,AK,9,,OH,9,Waterfall
,2/14/1997,63,Female,Tea,Night Owl,VA,14,,VA,14,Waterfall
,2/10/1991,77,Male,Neither,Early Bird,OR,9,,OR,9,Waterfall
,2/27/1985,79,Male,Coffee,Night Owl,SC,17,,SC,17,Waterfall
,4/18/2002,62,Female,Coffee,Night Owl,CA,2,,TX,13,Waterfall
